"","PMU_ID","PMU_Company","PMU_Name_Raw","PMU_Name_Short","PMU_Name_Long","PMU_Set","PMU_Channel","PMU_Type","PMU_Voltage"
1,34017,"GBPA","ALBN 500 B1 SA ","ALBN","Albion",1,"B","SA",500
2,34119,"GBPA","ALCN 500 B1 SA ","ALCN","Alicante",1,"B","SA",500
3,34091,"GBPA","ASSS 500 B1 SA ","ASSS","Assisi",1,"B","SA",500
4,34057,"GBPA","BERL 230 B1 SA ","BERL","Berlin",1,"B","SA",230
5,34514,"GBPA","BERL 230 B2 SA ","BERL","Berlin",2,"B","SA",230
6,34029,"GBPA","BGRD 500 B1 SA ","BGRD","Belgrade",1,"B","SA",500
7,34031,"GBPA","BGRD 500 B2 SA ","BGRD","Belgrade",2,"B","SA",500
8,34055,"GBPA","CPGN 500 B1 SA ","CPGN","Copenhagen",1,"B","SA",500
9,34360,"GBPA","CENO 500 B1 SA ","CENO","Cenon",1,"B","SA",500
10,34107,"GBPA","CHIS 230 B1 SA ","CHIS","Chisinau",1,"B","SA",230
11,34472,"GBPA","CHIS 230 B2 SA ","CHIS","Chisinau",2,"B","SA",230
12,34105,"GBPA","CHIS 500 B1 SA ","CHIS","Chisinau",1,"B","SA",500
13,34049,"GBPA","CUST 500 B1 SA ","CUST","Cusset",1,"B","SA",500
14,34129,"GBPA","ECHT 500 B1 SA ","ECHT","Echart",1,"B","SA",500
15,34059,"GBPA","GARM 500 B1 SA ","GARM","Garmond",1,"B","SA",500
16,34113,"GBPA","GRTI 230 B1 SA ","GRTI","Grand Titon",1,"B","SA",230
17,34473,"GBPA","GRTI 230 B2 SA ","GRTI","Grand Titon",2,"B","SA",230
18,34109,"GBPA","GRTI 500 B1 SA ","GRTI","Grand Titon",1,"B","SA",500
19,34111,"GBPA","GRTI 500 B2 SA ","GRTI","Grand Titon",2,"B","SA",500
20,34063,"GBPA","GRIM 500 B1 SA ","GRIM","Grimma",1,"B","SA",500
21,34065,"GBPA","GRIM 500 B2 SA ","GRIM","Grimma",2,"B","SA",500
22,34081,"GBPA","JDGN 230 B1 SA ","JDGN","Jodoigne",1,"B","SA",230
23,34077,"GBPA","JDGN 500 B1 SA ","JDGN","Jodoigne",1,"B","SA",500
24,34079,"GBPA","JDGN 500 B2 SA ","JDGN","Jodoigne",2,"B","SA",500
25,34027,"GBPA","KEEB 230 B1 SA ","KEEB","Keebler",1,"B","SA",230
26,34358,"GBPA","KEEB 230 B2 SA ","KEEB","Keebler",2,"B","SA",230
27,34025,"GBPA","KEEB 500 B1 SA ","KEEB","Keebler",1,"B","SA",500
28,34093,"GBPA","LOWL 500 B1 SA ","LOWL","Lowell",1,"B","SA",500
29,34095,"GBPA","LOWL 500 B2 SA ","LOWL","Lowell",2,"B","SA",500
30,34051,"GBPA","MAVO 500 B1 SA ","MAVO","Malinovo",1,"B","SA",500
31,34053,"GBPA","MAVO 500 B2 SA ","MAVO","Malinovo",2,"B","SA",500
32,34019,"GBPA","MARS 500 B1 SA ","MARS","Marseille",1,"B","SA",500
33,34021,"GBPA","MARS 500 B2 SA ","MARS","Marseille",2,"B","SA",500
34,34085,"GBPA","MCLN 230 B1 SA ","MCLN","Mclean",1,"B","SA",230
35,34087,"GBPA","MCLN 230 B2 SA ","MCLN","Mclean",2,"B","SA",230
36,34083,"GBPA","MCLN 500 B1 SA ","MCLN","Mclean",1,"B","SA",500
37,34127,"GBPA","MONR 500 B1 SA ","MONR","Monrovia",1,"B","SA",500
38,34039,"GBPA","NBON 230 B1 SA ","NBON","N. Bonn",1,"B","SA",230
39,34041,"GBPA","NBON 230 B2 SA ","NBON","N. Bonn",2,"B","SA",230
40,34121,"GBPA","OSTA 500 B1 SA ","OSTA","Ostroda",1,"B","SA",500
41,34011,"GBPA","PALT 500 B1 SA ","PALT","Paulton",1,"B","SA",500
42,34013,"GBPA","PALT 500 B2 SA ","PALT","Paulton",2,"B","SA",500
43,34023,"GBPA","PEHV 500 B1 SA ","PEHV","Peacehaven",1,"B","SA",500
44,34045,"GBPA","RKBG 230 B1 SA ","RKBG","Rockenberg",1,"B","SA",230
45,34043,"GBPA","RKBG 500 B1 SA ","RKBG","Rockenberg",1,"B","SA",500
46,34101,"GBPA","SHWN 500 B1 SA ","SHWN","Schwerin",1,"B","SA",500
47,34103,"GBPA","SHWN 500 B2 SA ","SHWN","Schwerin",2,"B","SA",500
48,34365,"GBPA","SLAW 230 B1 SA ","SLAW","Slawno",1,"B","SA",230
49,34047,"GBPA","SLAW 500 B1 SA ","SLAW","Slawno",1,"B","SA",500
50,34061,"GBPA","SUMI 500 B1 SA ","SUMI","Sumiswald",1,"B","SA",500
51,34015,"GBPA","TROY 230 B1 SA ","TROY","Troy",1,"B","SA",230
52,34037,"GBPA","WAUW 500 B1 SA ","WAUW","Wauwil",1,"B","SA",500
