"","Signal_ID","Signal_PMU_ID","Signal_Index","Signal_Name_Raw","Signal_Name_Short","Signal_Name_Group","Signal_Name_Long","Signal_Type","Signal_Asset","Signal_Voltage","Signal_Circuit","Signal_Unit","Signal_Phase"
1,"<34016-P-01>",0x84e0,"1","B500NORTH____1VP","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Pos. Seq"
2,"<34016-P-02>",0x84e0,"2","B500NORTH____1VA","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Phase A"
3,"<34016-P-03>",0x84e0,"3","B500NORTH____1VB","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Phase B"
4,"<34016-P-04>",0x84e0,"4","B500NORTH____1VC","NORTH","500NORTH____1","N","Phasor","Bus",500,"1","Voltage","Phase C"
5,"<34016-P-05>",0x84e0,"5","B500SOUTH____1VP","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Pos. Seq"
6,"<34016-P-06>",0x84e0,"6","B500SOUTH____1VA","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Phase A"
7,"<34016-P-07>",0x84e0,"7","B500SOUTH____1VB","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Phase B"
8,"<34016-P-08>",0x84e0,"8","B500SOUTH____1VC","SOUTH","500SOUTH____1","S","Phasor","Bus",500,"1","Voltage","Phase C"
9,"<34016-P-09>",0x84e0,"9","L500NAPLES___1IP","NAPLES","500NAPLES___1","Naples","Phasor","Line",500,"1","Current","Pos. Seq"
10,"<34016-P-10>",0x84e0,"10","L500KEEBLER__1IP","KEEBLER","500KEEBLER__1","Keebler","Phasor","Line",500,"1","Current","Pos. Seq"
11,"<34016-P-11>",0x84e0,"11","L500PAULTON__2IP","PAULTON","500PAULTON__2","Paulton","Phasor","Line",500,"2","Current","Pos. Seq"
12,"<34016-P-12>",0x84e0,"12","T500BANK1____1IP","BANK1","500BANK1____1","Transformer Bank #1","Phasor","Transformer",500,"1","Current","Pos. Seq"
13,"<34016-P-13>",0x84e0,"13","T500BANK2____1IP","BANK2","500BANK2____1","Transformer Bank #2","Phasor","Transformer",500,"1","Current","Pos. Seq"
14,"<34016-A-01>",0x84e0,"1","A500NAPLES___1MW","NAPLES","500NAPLES___1","Naples","Analog","Analog",500,"1","Power-Real",""
15,"<34016-A-02>",0x84e0,"2","A500NAPLES___1MV","NAPLES","500NAPLES___1","Naples","Analog","Analog",500,"1","Power-Reactive",""
